,index,sessionid,next,userHash,latitude,longitude,connectionType,platformType,country_code
12573,74795,-1130541316393092907,False,-7561756946501489419,53.1114,-1.6531,1,7,gb
12574,272769,-1130010274955151420,False,8624959329842541774,25.4194,-100.9981,1,7,mx
12575,339786,-1128464619985044490,False,-7955026706934990729,33.5886,131.2004,2,5,jp
12576,339718,-1128464619985044490,True,-7955026706934990729,33.5886,131.2004,2,5,jp
12577,823405,-1127097858742544753,False,5816982539211699469,25.0291,-101.1251,1,5,mx
12578,823335,-1127097858742544753,True,5816982539211699469,25.0291,-101.1251,1,5,mx
12579,74672,-1126767484083152661,False,-1102275592056494412,40.0305,-76.2833,2,7,us
12580,272413,-1126078839093183412,False,7581253346630563730,33.9133,-80.3587,2,5,us
12581,273677,-1126078839093183412,True,7581253346630563730,33.9133,-80.3587,2,5,us
12582,783155,-1125875498449494988,False,-3952838220539762636,33.9776,-117.7375,2,4,us
12583,783151,-1125875498449494988,True,-3952838220539762636,33.9776,-117.7375,2,4,us
12584,14829,-1123637642436253724,False,1019330580200941318,32.9473,-96.7028,2,5,us
12585,271465,-1122157203890061692,False,-4772675913139862737,26.4336,50.1116,2,1,sa
12586,271755,-1120738579278159551,False,-2329512012353631225,35.7046,140.2074,2,4,jp
12587,272664,-1120483742301044595,False,835632998296605576,33.9555,-118.2863,1,5,us
12588,339744,-1118767265634438554,False,5446735001942212851,8.0,-5.0,2,4,ci
12589,339715,-1118767265634438554,True,5446735001942212851,8.0,-5.0,2,4,ci
12590,74780,-1115486020480034073,False,3087468353112895597,33.6206,-117.0867,2,1,us
12591,74779,-1115486020480034073,True,3087468353112895597,33.6206,-117.0867,2,1,us
12592,271987,-1115154554828663370,False,2788239753418626760,42.4832,-89.027,1,5,us
12593,783361,-1114344193551213914,False,4761402001237813219,35.7614,-78.6015,2,5,us
12594,272993,-1114117980683570993,False,-2232182081025465112,44.3233,-69.7687,1,7,us
12595,773719,-1107956559371603905,False,-6911741540013263123,37.1918,-3.6095,2,4,es
12596,773713,-1107956559371603905,True,-6911741540013263123,37.1918,-3.6095,2,4,es
12597,99621,-1106900654081049114,False,2418377566544456704,25.7641,-80.2702,1,5,us
12598,603527,-1106304607566180162,False,-7025607172049042953,29.6889,-95.3071,2,7,us
12599,603432,-1106304607566180162,True,-7025607172049042953,29.6889,-95.3071,2,7,us
12600,273242,-1101074434314174267,False,161562156829239005,51.5192,0.4638,2,7,gb
12601,271536,-1100968502092986829,False,-3872556022637288751,40.7597,-96.6542,1,1,us
12602,790143,-1100097942822639646,False,751642837721379850,37.6403,-122.0667,2,7,us
12603,790139,-1100097942822639646,True,751642837721379850,37.6403,-122.0667,2,7,us
12604,271351,-1099895299834249053,False,-6742615802468044036,-27.6147,-48.4976,1,1,br
12605,603449,-1099551657655675814,False,-3933227923913542012,40.7762,-76.346,2,7,us
12606,603426,-1099551657655675814,True,-3933227923913542012,40.7762,-76.346,2,7,us
12607,273461,-1099048228127203494,False,7572076180683539397,40.7424,-74.0325,2,7,us
12608,271416,-1098904058974039785,False,-8679341385433944625,52.4564,13.3425,1,1,de
12609,273579,-1098447226032059488,False,-2643645011188598040,37.8213,-82.7887,1,7,us
12610,14514,-1098428457283322495,False,-6750955876884255665,27.2621,-80.3835,2,1,us
12611,477120,-1096030089934739238,False,-8219547990291706581,34.6796,-82.9325,2,5,us
12612,477153,-1096030089934739238,True,-8219547990291706581,34.6796,-82.9325,2,5,us
12613,254980,-1094952457598415365,False,1664451091940129716,40.7364,-73.8695,2,7,us
12614,254975,-1094952457598415365,True,1664451091940129716,40.7364,-73.8695,2,7,us
12615,273337,-1094862361601903478,False,1914812399489677877,30.4605,-89.0856,2,7,us
12616,273379,-1093330692473053664,False,9631178290441105,40.9465,-124.0834,2,7,us
12617,271876,-1092574933150299747,False,8400294091813347212,40.7849,-111.9338,2,4,us
12618,477021,-1092079254994139291,False,570284666284127136,35.3357,139.4063,1,1,jp
12619,477035,-1092079254994139291,True,570284666284127136,35.3357,139.4063,1,1,jp
12620,75219,-1090814431556651911,False,7324861174559078093,41.2615,-95.8304,2,4,us
12621,99671,-1089337089295544581,False,-3984120720256122503,44.8266,-93.375,2,1,us
12622,273437,-1089313117293782706,False,278269640813713691,40.5978,-74.0001,1,7,us
12623,271701,-1087696895244465910,False,8724889024704307844,36.3376,-119.2924,2,4,us
12624,271797,-1087458546054718870,False,5092733637039827464,48.8913,8.7158,2,4,de
12625,273524,-1086397966248419701,False,-7488470146835038124,40.935,-74.1176,2,7,us
12626,272976,-1086104615094378524,False,-4849555654296541325,40.8312,-73.9067,1,7,us
12627,271477,-1084475385489172792,False,-2075861151919094054,51.3354,6.585,1,1,de
12628,273620,-1084475385489172792,True,-2075861151919094054,51.3354,6.585,1,1,de
12629,272690,-1084319831760225899,False,5301299113677579279,34.2268,-119.0488,2,5,us
12630,273731,-1084319831760225899,True,5301299113677579279,34.2268,-119.0488,2,5,us
12631,273497,-1083881941745663851,False,302907691264412319,41.7688,-88.3405,2,7,us
12632,495809,-1083758456156762305,False,8992428017291514999,35.704,139.6713,2,4,jp
12633,495849,-1083758456156762305,True,8992428017291514999,35.704,139.6713,2,4,jp
12634,506046,-1079733816480504155,False,4647301654014605932,44.6747,-63.5094,1,1,ca
12635,603324,-1079240982829412433,False,-8462296867843456416,33.8697,-118.3693,1,1,us
12636,603282,-1079240982829412433,True,-8462296867843456416,33.8697,-118.3693,1,1,us
12637,339730,-1078803663601053604,False,2643888712572108389,41.0854,-111.9682,1,1,us
12638,339713,-1078803663601053604,True,2643888712572108389,41.0854,-111.9682,1,1,us
12639,508562,-1077143052126591794,False,603196074052340578,36.0409,-115.0829,1,7,us
12640,507297,-1077076891891390230,False,-6658425949422362064,52.6261,1.3034,2,5,gb
12641,508541,-1076514409612985552,False,4504239401842410913,42.2796,-71.1282,2,7,us
12642,508257,-1074856196434512637,False,-2127792530171247276,33.7209,-116.2172,2,5,us
12643,506089,-1073914461830471753,False,-6161272144948848436,34.6946,135.5021,1,1,jp
12644,507209,-1070686891822199319,False,85237408480793498,40.8596,-73.9316,1,5,us
12645,507566,-1069434925523355008,False,5410874457292495585,45.6618,12.2428,2,5,it
12646,911187,-1069405161056232540,False,4080956251811812228,-19.9029,-43.9572,2,7,br
12647,911182,-1069405161056232540,True,4080956251811812228,-19.9029,-43.9572,2,7,br
12648,823419,-1068488760768901246,False,7955926799117256579,39.8017,141.0622,1,5,jp
12649,823368,-1068488760768901246,True,7955926799117256579,39.8017,141.0622,1,5,jp
12650,790912,-1067939585481097867,False,1747122175559186823,42.9469,-85.6206,2,7,us
12651,790907,-1067939585481097867,True,1747122175559186823,42.9469,-85.6206,2,7,us
12652,255111,-1067754822366287386,False,1979230119495796033,45.8903,-72.5048,1,1,ca
12653,509545,-1067204060887445849,False,-3030091698505766292,33.3429,-111.6347,2,7,us
12654,256463,-1066931848130350070,False,8627821372271175808,41.4722,-81.745,2,5,us
12655,603475,-1066856947147872608,False,3619585996828504644,29.6436,-82.3231,2,4,us
12656,603430,-1066856947147872608,True,3619585996828504644,29.6436,-82.3231,2,4,us
12657,507383,-1066788279854482173,False,-3120801707131990908,43.1166,-87.9904,2,5,us
12658,506125,-1066623616585669397,False,-7413416411386564027,19.0748,72.8856,2,1,in
12659,509829,-1066623616585669397,True,-7413416411386564027,19.0748,72.8856,2,1,in
12660,509335,-1066293980987466420,False,-1121853315814185179,40.5912,-83.1258,1,7,us
12661,255050,-1066000550979958093,False,6851955549916194327,26.2729,-80.26,2,5,us
12662,509261,-1065626482512260995,False,8416659607801391565,46.9285,-1.7467,1,7,fr
12663,339726,-1064212948038866842,False,-4690743033822718881,35.5621,139.8972,1,1,jp
12664,339710,-1064212948038866842,True,-4690743033822718881,35.5621,139.8972,1,1,jp
12665,507517,-1063768218615108059,False,-3338728059823077590,39.0819,-78.1873,1,5,us
12666,508599,-1062886542963622831,False,-4409200848265919523,34.4129,-103.2199,2,7,us
12667,256585,-1062178609369851734,False,-6719853332704065087,27.9906,-82.7455,2,4,us
12668,74838,-1061699350005795760,False,-7087264250627486044,26.5991,-80.1284,1,7,us
12669,74744,-1061013454428629804,False,6056188356139285942,-23.4736,-47.4425,2,7,br
12670,508047,-1060063586656934770,False,6131696223500608155,54.9881,-1.6194,2,5,gb
12671,603325,-1058950833931856801,False,-5753159601322938158,36.4034,139.0844,1,1,jp
12672,603283,-1058950833931856801,True,-5753159601322938158,36.4034,139.0844,1,1,jp
12673,506703,-1058735847630066274,False,3966875378609869903,30.4948,-88.3262,2,1,us
12674,509379,-1057395215327377768,False,-1861627771354992695,52.926,-1.4334,2,7,gb
12675,506919,-1056954465834135708,False,-9148432538536081859,43.6342,-116.341,2,4,us
12676,790141,-1056883536070604377,False,9080413364346967983,38.4426,-122.7547,2,7,us
12677,790138,-1056883536070604377,True,9080413364346967983,38.4426,-122.7547,2,7,us
12678,911199,-1056389480635907538,False,-8460923202965553498,18.3808,-65.8299,2,7,us
12679,911184,-1056389480635907538,True,-8460923202965553498,18.3808,-65.8299,2,7,us
12680,506830,-1056130105399019946,False,5395771040053884385,33.395,-86.8348,2,1,us
12681,509361,-1055409081842561386,False,-4959106170398683201,31.6023,-106.4352,1,7,mx
12682,603537,-1053698076827522013,False,-7003864654980425878,33.3364,44.4004,2,5,iq
12683,603434,-1053698076827522013,True,-7003864654980425878,33.3364,44.4004,2,5,iq
12684,507006,-1053610484093642433,False,4954931125867869725,37.751,-97.822,2,4,us
12685,99404,-1053370974804878800,False,2151046948229702115,29.4203,-95.4537,2,7,us
12686,508338,-1051135206389378067,False,7335255267448614752,41.5782,-73.415,2,5,us
12687,507898,-1050731640962354491,False,-1888254674691786848,25.2925,51.5321,1,5,qa
12688,508779,-1047730535217248260,False,7512117177677852130,24.9389,121.5422,1,7,tw
12689,823510,-1047550039740004658,False,7963745824771188318,21.4082,-157.7396,2,4,us
12690,823500,-1047550039740004658,True,7963745824771188318,21.4082,-157.7396,2,4,us
12691,506557,-1047060704579434613,False,2647806297674176623,17.9898,-92.9478,1,1,mx
12692,508658,-1047036283293511686,False,7958607598741060967,19.8116,-90.5432,2,7,mx
12693,256830,-1046744377796228565,False,-5384844068536626228,39.9517,-76.7064,1,7,us
12694,790873,-1046440295919825103,False,-7697998899380722065,39.0127,-77.5342,2,5,us
12695,790860,-1046440295919825103,True,-7697998899380722065,39.0127,-77.5342,2,5,us
